"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"< 1 year"	"1"	0	28712	0.00
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"1-4 years"	"1-4"	0	115715	0.00
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	0	161690	0.00
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	0	154634	0.00
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	"30-34 years"	"30-34"	0	153099	0.00
"Total"	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"			95	2293259	4.14
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"< 1 year"	"1"	0	30075	0.00
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"10-14 years"	"10-14"	0	162999	0.00
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"20-24 years"	"20-24"	0	151548	0.00
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"75-79 years"	"75-79"	18	46215	38.95
"Total"	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"			115	2136882	5.38
"Total"	"Alabama"	"01"	"1999"	"1999"					210	4430141	4.74
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"< 1 year"	"1"	0	29143	0.00
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"1-4 years"	"1-4"	0	115433	0.00
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"10-14 years"	"10-14"	0	156202	0.00
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"25-29 years"	"25-29"	0	150616	0.00
"Total"	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"			91	2302835	3.95
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"< 1 year"	"1"	0	30474	0.00
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"25-29 years"	"25-29"	0	148063	0.00
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"65-69 years"	"65-69"	19	76405	24.87
"Total"	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"			126	2149338	5.86
"Total"	"Alabama"	"01"	"2000"	"2000"					217	4452173	4.87
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"< 1 year"	"1"	0	30131	0.00
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"1-4 years"	"1-4"	0	115083	0.00
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"15-19 years"	"15-19"	0	158268	0.00
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"20-24 years"	"20-24"	0	160817	0.00
"Total"	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"			99	2309496	4.29
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"< 1 year"	"1"	0	31406	0.00
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"15-19 years"	"15-19"	0	163598	0.00
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"20-24 years"	"20-24"	0	157924	0.00
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"25-29 years"	"25-29"	0	141826	0.00
"Total"	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"			104	2158138	4.82
"Total"	"Alabama"	"01"	"2001"	"2001"					203	4467634	4.54
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"< 1 year"	"1"	0	29134	0.00
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"1-4 years"	"1-4"	0	116056	0.00
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"5-9 years"	"5-9"	0	147800	0.00
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"15-19 years"	"15-19"	0	157222	0.00
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"20-24 years"	"20-24"	0	162619	0.00
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"25-29 years"	"25-29"	0	142137	0.00
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"30-34 years"	"30-34"	0	153189	0.00
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"75-79 years"	"75-79"	20	71975	27.79
"Total"	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"			100	2314370	4.32
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"< 1 year"	"1"	0	29829	0.00
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"25-29 years"	"25-29"	0	138866	0.00
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"65-69 years"	"65-69"	16	78293	20.44
"Total"	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"			119	2165719	5.49
"Total"	"Alabama"	"01"	"2002"	"2002"					219	4480089	4.89
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"< 1 year"	"1"	0	28339	0.00
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"5-9 years"	"5-9"	0	146274	0.00
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"25-29 years"	"25-29"	0	142041	0.00
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"30-34 years"	"30-34"	0	153006	0.00
"Total"	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"			91	2324069	3.92
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"60-64 years "	"60-64"	20	97551	20.50
"Total"	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"			113	2179422	5.18
"Total"	"Alabama"	"01"	"2003"	"2003"					204	4503491	4.53
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"< 1 year"	"1"	0	29033	0.00
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"5-9 years"	"5-9"	0	145606	0.00
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	"25-29 years"	"25-29"	0	143951	0.00
"Total"	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"			95	2337857	4.06
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"< 1 year"	"1"	0	29894	0.00
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"55-59 years"	"55-59"	18	130369	13.81
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"70-74 years"	"70-74"	17	64697	26.28
"Total"	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"			120	2192872	5.47
"Total"	"Alabama"	"01"	"2004"	"2004"					215	4530729	4.75
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"< 1 year"	"1"	0	29221	0.00
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"1-4 years"	"1-4"	0	116184	0.00
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"10-14 years"	"10-14"	0	157484	0.00
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"20-24 years"	"20-24"	0	163436	0.00
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"35-39 years"	"35-39"	0	154595	0.00
"Total"	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"			85	2354514	3.61
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"< 1 year"	"1"	0	30204	0.00
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"5-9 years"	"5-9"	0	152436	0.00
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"20-24 years"	"20-24"	0	162885	0.00
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"70-74 years"	"70-74"	18	66019	27.26
"Total"	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"			108	2211403	4.88
