REPORTING_YEAR,CHEM_NAME~,CARCINOGEN,CLEAN_AIR,LIST_3350,PBT_IND,PFAS_IND,STATE_ABBR
2000,1001,N,N,N,N,N,AL
2000,39,Y,Y,N,Y,N,AZ
2000,129,N,Y,Y,N,N,AZ
2000,71,N,Y,N,N,N,AK
2001,684,N,N,N,N,N,AR
2001,419,N,N,N,N,N,AZ
2001,108,Y,N,Y,Y,N,AL
2001,48,Y,Y,N,Y,N,AZ
2001,55,Y,Y,N,N,N,AK
2001,2,N,N,N,Y,N,AL
2002,143,N,Y,Y,Y,N,AZ
2002,173,N,Y,Y,Y,N,AR
2002,272,N,Y,N,N,N,AZ
2002,2,N,N,N,Y,N,AL
2002,12,Y,Y,N,Y,N,AK
2002,6,N,Y,N,Y,N,AK
2003,657,N,N,N,N,N,AR
2003,964,N,N,N,N,N,AL
2003,347,N,Y,Y,Y,N,AL
2003,98,N,N,Y,N,N,AL
2004,44,N,Y,N,Y,N,AL
2004,158,Y,N,Y,Y,N,AL
2004,664,N,N,N,N,N,AR
2004,95,Y,Y,Y,N,N,AZ
2004,3,N,N,N,Y,N,AL
2005,372,N,N,N,N,N,AZ
2005,169,Y,N,Y,Y,N,AL
2005,50,N,Y,N,Y,N,AL
2005,7,Y,N,N,N,N,AZ
2006,154,N,Y,Y,Y,N,AZ
2006,17,Y,Y,N,Y,N,AK
2006,44,Y,Y,N,N,N,AK
2007,42,N,Y,Y,N,N,AK
2007,73,N,Y,N,N,N,AK
2007,7,Y,N,Y,Y,N,AK
2007,1,N,Y,N,Y,N,AK
2008,478,Y,Y,N,N,N,AL
2008,942,N,Y,N,N,N,AL
2008,123,Y,Y,N,N,N,AZ
2008,56,Y,Y,N,Y,N,AZ
2008,8,Y,N,N,N,N,AZ
2008,34,Y,N,N,N,N,AR
2008,21,N,Y,N,Y,N,AZ
2008,2,N,N,N,Y,N,AL
2009,111,Y,Y,Y,N,N,AZ
2009,518,N,Y,N,N,N,AR
2009,29,N,Y,N,Y,N,AL
2009,71,N,Y,Y,Y,N,AK
2009,50,N,Y,Y,N,N,AK
2010,562,N,Y,N,N,N,AR
2010,168,N,Y,Y,Y,N,AZ
2010,111,Y,Y,Y,N,N,AZ
2010,81,Y,N,Y,Y,N,AZ
2010,148,Y,Y,Y,N,N,AR
2010,15,Y,Y,N,Y,N,AK
2010,6,Y,N,Y,Y,N,AK
2010,85,Y,Y,N,Y,N,AR
2010,26,N,Y,N,Y,N,AR
2010,31,Y,N,N,N,N,AR
2011,927,N,N,N,N,N,AL
2011,701,N,N,N,N,N,AR
2011,55,N,Y,Y,N,N,AK
2011,6,Y,N,N,N,N,AZ
2011,1,Y,Y,N,Y,N,AS
2012,154,Y,N,Y,Y,N,AL
2012,74,Y,N,Y,Y,N,AZ
2012,273,Y,Y,Y,N,N,AL
2012,92,Y,N,Y,Y,N,AR
2013,270,N,Y,Y,N,N,AL
2013,869,N,Y,N,N,N,AL
2013,178,N,Y,Y,Y,N,AR
2013,139,Y,Y,Y,N,N,AR
2013,2,N,N,N,Y,N,AL
2013,11,Y,N,Y,Y,N,AK
2013,36,Y,Y,N,Y,N,AZ
2013,33,Y,N,N,N,N,AR
2013,26,Y,N,N,N,N,AL
2014,155,Y,N,Y,Y,N,AL
2014,71,Y,N,Y,Y,N,AZ
2014,159,N,Y,Y,Y,N,AZ
2014,28,Y,N,N,N,N,AL
2014,5,Y,N,Y,Y,N,AK
2015,377,N,N,N,N,N,AZ
2015,160,N,Y,Y,Y,N,AZ
2015,67,Y,N,Y,Y,N,AZ
2016,119,Y,Y,N,N,N,AZ
2016,351,N,N,N,N,N,AZ
2016,120,N,Y,Y,N,N,AR
2016,160,Y,N,Y,Y,N,AL
2017,838,N,Y,N,N,N,AL
2017,272,N,Y,Y,N,N,AL
2017,102,Y,N,Y,Y,N,AR
2017,34,N,Y,N,Y,N,AL
2017,95,N,Y,N,N,N,AK
2017,88,N,Y,Y,Y,N,AK
2018,50,Y,N,Y,Y,N,AZ
2018,174,N,Y,Y,Y,N,AZ
2018,1,Y,Y,N,N,N,AS
2018,1,Y,Y,N,Y,N,AS
2018,99,N,Y,Y,Y,N,AK
2018,5,N,N,N,Y,N,AR
2019,38,N,Y,N,Y,N,AR
2019,1,Y,Y,N,N,N,AS
2020,290,Y,Y,N,N,N,AR
2020,562,N,Y,N,N,N,AR
2020,320,N,N,N,N,N,AZ
2020,276,Y,Y,Y,N,N,AL
2020,5,N,N,N,N,Y,AR
2020,1,Y,N,N,N,Y,AR
2021,335,N,N,N,N,N,AZ
2021,142,N,Y,Y,Y,N,AZ
2021,82,Y,N,Y,Y,N,AR
2021,83,Y,Y,N,Y,N,AR
2021,32,N,Y,N,Y,N,AR
2021,31,Y,N,N,N,N,AR
2021,116,N,Y,Y,N,N,AR
2021,137,Y,Y,Y,N,N,AR
2021,16,N,Y,N,Y,N,AZ
2022,290,N,Y,Y,N,N,AL
2022,149,N,N,N,N,N,AK
2022,108,N,Y,N,N,N,AK
2022,183,N,Y,Y,Y,N,AR
2023,173,N,Y,Y,Y,N,AR
2023,563,N,Y,N,N,N,AR
2023,228,N,Y,N,N,N,AZ
2023,83,Y,Y,N,Y,N,AR
2023,106,N,Y,Y,N,N,AZ
2023,3,N,N,N,N,N,AS
2023,16,N,N,N,N,Y,AR
1999,443,N,N,N,N,N,AZ
1999,1033,N,Y,N,N,N,AL
1999,323,Y,Y,Y,N,N,AL
1999,2,Y,Y,N,N,N,AS
1999,27,Y,N,N,N,N,AR
1999,62,N,Y,N,N,N,AK
1999,84,N,N,N,N,N,AK
2000,98,Y,Y,N,Y,N,AR
2000,34,N,Y,Y,Y,N,AK
2000,1,Y,N,Y,Y,N,AK
2001,109,Y,Y,N,N,N,AZ
2001,270,Y,Y,Y,N,N,AL
2001,52,N,Y,N,Y,N,AL
2001,41,N,Y,Y,N,N,AK
2001,49,Y,Y,Y,N,N,AK
2002,9,Y,N,Y,Y,N,AK
2002,281,Y,Y,Y,N,N,AL
2002,106,N,N,Y,N,N,AL
2003,974,N,Y,N,N,N,AL
2003,269,Y,Y,Y,N,N,AL
2003,61,Y,N,Y,Y,N,AZ
2003,144,N,Y,Y,N,N,AR
2003,387,N,N,N,N,N,AZ
2003,150,N,Y,Y,Y,N,AZ
2003,79,Y,N,Y,Y,N,AR
2003,19,Y,Y,N,Y,N,AK
2003,38,Y,Y,Y,N,N,AK
2003,1,Y,Y,N,Y,N,AS
2004,964,N,N,N,N,N,AL
2004,466,Y,Y,N,N,N,AL
2004,314,N,Y,Y,N,N,AL
2004,145,Y,Y,Y,N,N,AR
2004,67,Y,N,Y,Y,N,AR
2004,89,Y,Y,N,Y,N,AR
2005,52,Y,Y,N,Y,N,AZ
2005,954,N,N,N,N,N,AL
2005,86,Y,N,Y,Y,N,AZ
2005,13,Y,Y,N,Y,N,AK
2005,261,Y,Y,Y,N,N,AL
2005,31,Y,N,N,N,N,AL
2006,164,Y,N,Y,Y,N,AL
2006,138,Y,Y,N,N,N,AZ
2006,113,N,Y,Y,N,N,AZ
2006,1,Y,Y,N,Y,N,AS
2006,36,N,Y,N,Y,N,AL
2006,18,N,Y,N,Y,N,AZ
2006,36,N,Y,Y,N,N,AK
2007,240,N,Y,N,N,N,AZ
2007,657,N,N,N,N,N,AR
2007,474,Y,Y,N,N,N,AL
2007,297,N,Y,Y,N,N,AL
2007,166,Y,Y,N,Y,N,AL
2007,100,Y,Y,Y,N,N,AZ
2007,35,N,Y,N,Y,N,AL
2007,79,Y,N,Y,Y,N,AR
2007,57,Y,Y,N,N,N,AK
2008,590,N,Y,N,N,N,AR
2008,249,N,Y,N,N,N,AZ
2008,85,Y,Y,N,Y,N,AR
2008,116,Y,Y,Y,N,N,AZ
2008,6,Y,N,Y,Y,N,AK
2009,269,N,Y,Y,N,N,AL
2009,151,Y,N,Y,Y,N,AL
2009,274,Y,Y,N,N,N,AR
2009,140,Y,Y,Y,N,N,AR
2009,98,N,N,N,N,N,AK
2009,2,N,N,N,Y,N,AL
2010,680,N,N,N,N,N,AR
2011,852,N,Y,N,N,N,AL
2011,318,N,Y,Y,Y,N,AL
2011,547,N,Y,N,N,N,AR
2011,160,Y,Y,N,Y,N,AL
2011,18,Y,Y,N,Y,N,AK
2012,240,N,Y,N,N,N,AZ
2012,693,N,N,N,N,N,AR
2012,69,N,Y,Y,Y,N,AK
2012,6,N,Y,N,Y,N,AK
2013,82,Y,Y,N,Y,N,AR
2013,1,Y,Y,N,N,N,AS
2014,117,N,Y,Y,N,N,AR
2014,148,Y,Y,Y,N,N,AR
2014,103,Y,Y,Y,N,N,AZ
2014,7,N,Y,N,Y,N,AZ
2014,2,N,N,N,Y,N,AR
2015,158,Y,N,Y,Y,N,AL
2015,262,Y,Y,Y,N,N,AL
2015,83,N,Y,Y,Y,N,AK
2015,31,Y,N,N,N,N,AL
2015,52,Y,Y,Y,N,N,AK
2015,5,Y,N,Y,Y,N,AK
2016,265,N,Y,Y,N,N,AL
2016,295,Y,Y,N,N,N,AR
2016,535,N,Y,N,N,N,AR
2016,957,N,N,N,N,N,AL
2016,411,Y,Y,N,N,N,AL
2016,324,N,Y,Y,Y,N,AL
2016,100,Y,N,Y,Y,N,AR
2016,82,Y,Y,N,N,N,AK
2016,45,Y,Y,Y,N,N,AK
2016,5,N,Y,N,Y,N,AK
2016,2,N,N,N,N,N,AS
2017,39,N,Y,N,Y,N,AR
2017,45,Y,Y,Y,N,N,AK
2017,3,Y,N,N,N,N,AZ
2017,1,Y,Y,N,Y,N,AS
2018,3,Y,N,Y,Y,N,AK
2018,11,N,Y,N,Y,N,AK
2019,121,N,Y,Y,N,N,AR
2019,286,N,Y,Y,N,N,AL
2019,119,Y,Y,N,N,N,AK
2019,65,N,Y,Y,N,N,AK
2019,46,Y,N,Y,Y,N,AZ
2019,358,N,N,N,N,N,AZ
2019,30,N,Y,N,Y,N,AL
2019,84,Y,Y,N,Y,N,AR
2019,3,Y,N,Y,Y,N,AK
2020,96,N,Y,Y,N,N,AZ
2020,137,Y,Y,N,Y,N,AL
2020,114,Y,Y,N,N,N,AZ
2021,936,N,N,N,N,N,AL
2021,1,Y,Y,N,Y,N,AS
2021,23,Y,N,N,N,N,AL
2022,266,Y,Y,Y,N,N,AL
2022,41,Y,Y,Y,N,N,AK
2023,295,N,Y,Y,N,N,AL
2023,826,N,Y,N,N,N,AL
2023,330,N,N,N,N,N,AZ
2023,118,N,Y,Y,N,N,AR
2023,28,Y,N,N,N,N,AL
2023,10,N,N,N,N,Y,AL
2023,13,N,N,N,Y,N,AR
2023,1,N,N,N,Y,N,AL
1999,979,N,N,N,N,N,AL
1999,264,Y,Y,N,N,N,AR
1999,184,N,Y,Y,N,N,AR
1999,7,Y,N,N,N,N,AZ
1999,3,N,N,N,N,N,AS
1999,46,N,Y,Y,Y,N,AZ
1999,11,Y,Y,N,Y,N,AR
1999,12,Y,N,Y,Y,N,AZ
1999,15,N,Y,Y,Y,N,AK
2000,643,N,Y,N,N,N,AR
2000,334,N,Y,Y,N,N,AL
2000,40,Y,N,Y,Y,N,AL
2000,35,N,N,Y,N,N,AZ
2000,54,N,Y,N,Y,N,AL
2000,148,N,Y,Y,Y,N,AL
2000,44,Y,N,N,N,N,AR
2001,320,N,Y,Y,N,N,AL
2001,174,N,Y,Y,N,N,AR
2001,175,Y,Y,Y,N,N,AR
2001,40,Y,N,N,N,N,AR
2001,31,Y,N,N,N,N,AL
2001,10,Y,N,Y,Y,N,AK
2001,1,N,N,N,N,N,AS
2002,131,Y,N,Y,Y,N,AL
2002,6,Y,N,N,N,N,AZ
2002,179,Y,Y,N,Y,N,AL
2002,323,N,Y,Y,Y,N,AL
2002,71,N,Y,N,N,N,AK
2002,1,Y,Y,N,Y,N,AS
2003,52,N,N,Y,N,N,AR
2003,24,N,N,Y,N,N,AZ
2003,8,N,Y,N,Y,N,AZ
2004,176,Y,Y,N,Y,N,AL
2004,271,N,Y,N,N,N,AZ
2004,567,N,Y,N,N,N,AR
2004,146,Y,Y,N,N,N,AZ
2004,17,Y,Y,N,Y,N,AK
2004,33,Y,N,N,N,N,AL
2005,256,N,Y,N,N,N,AZ
2005,476,Y,Y,N,N,N,AL
2006,580,N,Y,N,N,N,AR
2006,35,Y,N,N,N,N,AR
2006,287,N,Y,Y,N,N,AL
2006,34,Y,Y,Y,N,N,AK
2007,266,Y,Y,Y,N,N,AL
2007,30,N,Y,N,Y,N,AR
2007,36,Y,Y,Y,N,N,AK
2007,6,Y,N,N,N,N,AZ
2008,174,N,Y,Y,Y,N,AR
2008,377,N,N,N,N,N,AZ
2008,108,N,Y,Y,N,N,AZ
2008,98,N,N,N,N,N,AK
2008,76,N,Y,N,N,N,AK
2008,1,Y,Y,N,Y,N,AS
2009,616,N,N,N,N,N,AR
2009,119,N,Y,Y,N,N,AR
2009,178,N,Y,Y,Y,N,AZ
2009,16,N,Y,N,Y,N,AZ
2010,315,N,Y,Y,Y,N,AL
2010,259,Y,Y,Y,N,N,AL
2010,93,N,N,N,N,N,AK
2010,7,N,Y,N,Y,N,AK
2011,97,N,N,N,N,N,AK
2011,96,Y,N,Y,Y,N,AR
2011,175,N,Y,Y,Y,N,AZ
2011,39,N,Y,N,Y,N,AL
2011,34,Y,N,N,N,N,AR
2012,510,N,Y,N,N,N,AR
2012,864,N,Y,N,N,N,AL
2012,112,N,Y,Y,N,N,AZ
2012,97,Y,Y,Y,N,N,AZ
2012,30,Y,N,N,N,N,AR
2012,57,N,Y,Y,N,N,AK
2012,2,N,N,N,N,N,AS
2013,63,Y,N,Y,Y,N,AZ
2013,143,Y,N,Y,Y,N,AL
2013,108,Y,Y,Y,N,N,AZ
2013,74,N,Y,Y,Y,N,AK
2013,6,Y,N,N,N,N,AZ
2014,290,Y,Y,N,N,N,AR
2014,124,Y,Y,N,N,N,AZ
2014,380,N,N,N,N,N,AZ
2014,162,Y,Y,N,Y,N,AL
2014,97,Y,N,Y,Y,N,AR
2014,136,N,N,N,N,N,AK
2014,6,N,Y,N,Y,N,AK
2015,276,N,Y,Y,N,N,AL
2015,101,Y,Y,Y,N,N,AZ
2015,92,Y,Y,N,N,N,AK
2015,63,N,Y,Y,N,N,AK
2015,1,Y,Y,N,N,N,AS
2015,1,Y,Y,N,Y,N,AS
2015,5,N,Y,N,Y,N,AK
2016,58,Y,N,Y,Y,N,AZ
2016,150,Y,Y,Y,N,N,AR
2016,13,N,Y,N,Y,N,AZ
2017,230,N,Y,N,N,N,AZ
2017,857,N,N,N,N,N,AR
2017,311,Y,Y,N,N,N,AR
2017,163,Y,N,Y,Y,N,AL
2017,39,Y,Y,N,Y,N,AZ
2017,2,N,N,N,N,N,AS
2018,33,Y,N,N,N,N,AR
2018,153,N,N,N,N,N,AK
2018,111,Y,Y,N,N,N,AK
2019,221,N,Y,N,N,N,AZ
2019,105,N,Y,Y,N,N,AZ
2019,1,Y,Y,N,Y,N,AS
2020,199,N,Y,Y,Y,N,AR
2020,836,N,Y,N,N,N,AL
2020,286,N,Y,Y,Y,N,AL
2020,77,Y,Y,Y,N,N,AZ
2020,27,N,Y,N,Y,N,AL
2020,119,N,Y,N,N,N,AK
2020,87,Y,Y,N,Y,N,AR
2020,23,Y,Y,N,Y,N,AK
2021,282,Y,Y,N,N,N,AR
2021,218,N,Y,N,N,N,AZ
2021,173,Y,N,Y,Y,N,AL
2021,803,N,N,N,N,N,AR
2021,137,Y,Y,N,Y,N,AL
2021,271,Y,Y,Y,N,N,AL
2021,23,Y,Y,N,Y,N,AK
2022,849,N,Y,N,N,N,AL
2022,110,Y,Y,N,N,N,AZ
2022,30,Y,Y,N,Y,N,AK
2022,165,N,Y,Y,Y,N,AZ
2022,127,N,Y,Y,N,N,AR
