Predictor_name,Description,Data_type,Units,Category_levels,Missing_values,Time_period,Source
rt_carb,"Generalized lithology classified as CARB: sediments and sedimentary rocks. Carbonate rocks such as limestone and dolostone. Generally, any rock including any minor carbonate lithology is included in this group. Some special cases exist where carbonates are also identified based on LITH62MINO field in Schweitzer, Peter N., 2011, Combined geologic map data for the conterminous US derived from the USGS state geologic map compilation.",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Anning and Ator (2017)
rt_clast_c,"Generalized lithology classified as CLAST_C: sediments and sedimentary rocks. Clastic sediments/rocks primarily made of sands, gravels, cobbles, or larger clasts.",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Anning and Ator (2017)
rt_clast_f,"Generalized lithology classified as CLAST_F: sediments and sedimentary rocks. Clastic sediments/rocks primarily made of fine-grained materials such as shale, siltstone, claystone, mudstone, etc.",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Anning and Ator (2017)
rt_clast_u,Generalized lithology classified as CLAST_U: sediments and sedimentary rocks. Clastic sediments/rocks of unknown or highly variable clast sizes.,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Anning and Ator (2017)
rt_meta,Generalized lithology classified as META: Metamorphic rocks.,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Anning and Ator (2017)
rt_plut_qtz,"Generalized lithology classified as PLUT_QTZ: Igneous, generally felsic, quartz-rich plutonic rocks such as granitoids, granite, granodacite. Lithology of plutonics and volcanics are split out based on quartz content using the IUGS classification presented in Hyndman's 'Petrology of Igneous and Metamorphic Rocks' second edition, 1985, page 33, fields 1-5.",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Anning and Ator (2017)
PRMS8110Re,average annual recharge to groundwater,numeric,millimeters per year,NA,"""NA""",1981-2010,Hay (2019)
LP2,Lateral position for fourth order streams,numeric,percent times 100,NA,,NA,Moore and others (2019)
LP4,Lateral position for second order streams,numeric,percent times 100,NA,,NA,Moore and others (2019)
LP6,Lateral position for sixth order streams,numeric,percent times 100,NA,,NA,Moore and others (2019)
D3,"Devonian; stratified sequence, mainly marine, most complete sequences; Upper Devonian",binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
De,Devonian eugeosynclinal deposits,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
DSe,New England; Devonian and Silurian eugeosynclinal deposits,binary,NA,1 (present) ; 0 (absent),"""NA""",NA,Schruben and others (1997)
