Short_citation,Authors,Date,Title,Publication_information,Online_link
Hay (2019),"Hay, L.E.",2019,"Application of the National Hydrologic Model Infrastructure with the Precipitation-Runoff Modeling System (NHM-PRMS), by HRU Calibrated Version",U.S. Geological Survey,https://doi.org/10.5066/P9NM8K8W
Schruben and others (1997),"Schruben, P.G., Arndt, R.E., Bawiec, W.J.",1997,"Geology of the Conterminous United States at 1:2,500,000 Scale--A Digital Representation of the 1974 P.B. King and H.M. Beikman Map","U.S. Geological Survey Digital Data Series DDS-11 release 2, 26 p.",https://pubs.usgs.gov/dds/dds11/
Smith and others (2014),"Smith, D.B., Cannon, W.F., Woodruff, L.G., Solano, Federico, and Ellefsen, K.J",2014,Geochemical and mineralogical maps for soils of the conterminous United States,U.S. Geological Survey Open-File Report 2014–1082,https://dx.doi.org/10.3133/ofr20141082
Sugg (2007),"Sugg, Z.",2007,Assessing U.S. Farm Drainage: Can GIS lead to better estimates of subsurface drainage extent,World Resources Institute,http://www.wri.org/publication/assessing-us-farm-drainage
Thornton and others (2018),"Thornton, P. E., Thornton, M. M., Mayer, B. W., Wei, Y., Devarakonda, R., Vose, R. S., Cook, R. B.",2018,"Daymet: Daily Surface Weather Data on a 1-km Grid for North America, Version 3",ORNL Distributed Active Archive Center,https://daymet.ornl.gov/
Wolock (2003),"Wolock, D.M. ",2003,Base-flow index grid for the conterminous United States,U.S. Geological Survey Open-File Report 03-263,https://water.usgs.gov/GIS/metadata/usgswrd/XML/bfi48grd.xml
Moore and others (2019),"Moore, R.B., Belitz, K., Arnold, T.L., Sharpe, J.B., Starn, J.J.",2019,National Multi Order Hydrologic Position (MOHP) Predictor Data for Groundwater and Groundwater-Quality Modeling: U.S. Geological Survey data release,U.S. Geological Survey data release,https://doi.org/10.5066/P9HLU4YY
Soller and others (2009),"Soller, D.R., Reheis, M.C., Garrity, C.P., and Van Sistine, D.R.",2009,Map database for surficial materials in the conterminous United States,"U.S. Geological Survey Data Series 425, scale 1:5,000,000",https://pubs.usgs.gov/ds/425/
Anning and Ator (2017),"Anning, D.W. and Ator, S.W",2017,Generalized lithology for the conterminous United States,U.S. Geological Survey data release,https://doi.org/10.5066/F7R78D4N
USEPA (2013),U.S. Environmental Protection Agency,2013,Level III Ecoregions of the Conterminous United States,"U.S. EPA Office of Research and Development, National Health and Environmental Effects Research Laboratory",https://www.epa.gov/eco-research/level-iii-and-iv-ecoregions-continental-united-states
