Year,113 Cause Name,Cause Name,State,Deaths,Age-adjusted Death Rate
2017,Malignant neoplasms (C00-C97),Cancer,United States,599108,152.5
2017,Malignant neoplasms (C00-C97),Cancer,Alabama,10410,170
2017,Malignant neoplasms (C00-C97),Cancer,Alaska,926,139.2
2017,Malignant neoplasms (C00-C97),Cancer,Arizona,12008,135.8
2017,Malignant neoplasms (C00-C97),Cancer,Arkansas,6517,173.6
2017,Malignant neoplasms (C00-C97),Cancer,California,59516,136.8
2017,Malignant neoplasms (C00-C97),Cancer,Colorado,7829,131
2017,Malignant neoplasms (C00-C97),Cancer,Connecticut,6608,139.6
2017,Malignant neoplasms (C00-C97),Cancer,Delaware,2085,160.4
2017,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1031,152.8
2017,Malignant neoplasms (C00-C97),Cancer,Florida,45131,145.9
2017,Malignant neoplasms (C00-C97),Cancer,Georgia,17135,154.9
2017,Malignant neoplasms (C00-C97),Cancer,Hawaii,2456,128.6
2017,Malignant neoplasms (C00-C97),Cancer,Idaho,3020,153.2
2017,Malignant neoplasms (C00-C97),Cancer,Illinois,24150,157.9
2017,Malignant neoplasms (C00-C97),Cancer,Indiana,13462,170
2017,Malignant neoplasms (C00-C97),Cancer,Iowa,6449,158
2017,Malignant neoplasms (C00-C97),Cancer,Kansas,5494,157.2
2017,Malignant neoplasms (C00-C97),Cancer,Kentucky,10145,185.7
2017,Malignant neoplasms (C00-C97),Cancer,Louisiana,9513,174.9
2017,Malignant neoplasms (C00-C97),Cancer,Maine,3391,170.8
2017,Malignant neoplasms (C00-C97),Cancer,Maryland,10796,151.5
2017,Malignant neoplasms (C00-C97),Cancer,Massachusetts,12934,149.3
2017,Malignant neoplasms (C00-C97),Cancer,Michigan,20671,161.3
2017,Malignant neoplasms (C00-C97),Cancer,Minnesota,9896,146.8
2017,Malignant neoplasms (C00-C97),Cancer,Mississippi,6526,183.1
2017,Malignant neoplasms (C00-C97),Cancer,Missouri,12971,167.3
2017,Malignant neoplasms (C00-C97),Cancer,Montana,2145,152.6
2017,Malignant neoplasms (C00-C97),Cancer,Nebraska,3502,152.6
2017,Malignant neoplasms (C00-C97),Cancer,Nevada,5283,155.3
2017,Malignant neoplasms (C00-C97),Cancer,New Hampshire,2760,153.5
2017,Malignant neoplasms (C00-C97),Cancer,New Jersey,16264,144.6
2017,Malignant neoplasms (C00-C97),Cancer,New Mexico,3620,138.3
2017,Malignant neoplasms (C00-C97),Cancer,New York,34956,141.2
2017,Malignant neoplasms (C00-C97),Cancer,North Carolina,19474,157.1
2017,Malignant neoplasms (C00-C97),Cancer,North Dakota,1280,142.6
2017,Malignant neoplasms (C00-C97),Cancer,Ohio,25643,171.2
2017,Malignant neoplasms (C00-C97),Cancer,Oklahoma,8203,177.3
2017,Malignant neoplasms (C00-C97),Cancer,Oregon,8083,154.2
2017,Malignant neoplasms (C00-C97),Cancer,Pennsylvania,28387,161
2017,Malignant neoplasms (C00-C97),Cancer,Rhode Island,2154,154.2
2017,Malignant neoplasms (C00-C97),Cancer,South Carolina,10356,162.7
2017,Malignant neoplasms (C00-C97),Cancer,South Dakota,1715,156.9
2017,Malignant neoplasms (C00-C97),Cancer,Tennessee,14302,173.4
2017,Malignant neoplasms (C00-C97),Cancer,Texas,40668,146.5
2017,Malignant neoplasms (C00-C97),Cancer,Utah,3161,120.3
2017,Malignant neoplasms (C00-C97),Cancer,Vermont,1434,164.5
2017,Malignant neoplasms (C00-C97),Cancer,Virginia,15064,152.6
2017,Malignant neoplasms (C00-C97),Cancer,Washington,12664,148.4
2017,Malignant neoplasms (C00-C97),Cancer,West Virginia,4654,179.4
2017,Malignant neoplasms (C00-C97),Cancer,Wisconsin,11318,153.2
2017,Malignant neoplasms (C00-C97),Cancer,Wyoming,948,136.1
2016,Malignant neoplasms (C00-C97),Cancer,Alabama,10419,174
2016,Malignant neoplasms (C00-C97),Cancer,Alaska,995,158.7
2016,Malignant neoplasms (C00-C97),Cancer,Arizona,11876,136.8
2016,Malignant neoplasms (C00-C97),Cancer,Arkansas,6612,178.8
2016,Malignant neoplasms (C00-C97),Cancer,California,59515,139.7
2016,Malignant neoplasms (C00-C97),Cancer,Colorado,7928,137.1
2016,Malignant neoplasms (C00-C97),Cancer,Connecticut,6696,144.9
2016,Malignant neoplasms (C00-C97),Cancer,Delaware,2124,170.8
2016,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1044,160.1
2016,Malignant neoplasms (C00-C97),Cancer,Florida,44266,146.9
2016,Malignant neoplasms (C00-C97),Cancer,Georgia,17184,160.2
2016,Malignant neoplasms (C00-C97),Cancer,Hawaii,2401,128.7
2016,Malignant neoplasms (C00-C97),Cancer,Idaho,2884,150.9
2016,Malignant neoplasms (C00-C97),Cancer,Illinois,24389,163.5
2016,Malignant neoplasms (C00-C97),Cancer,Indiana,13424,172.5
2016,Malignant neoplasms (C00-C97),Cancer,Iowa,6432,159.8
2016,Malignant neoplasms (C00-C97),Cancer,Kansas,5484,158.6
2016,Malignant neoplasms (C00-C97),Cancer,Kentucky,10363,193.8
2016,Malignant neoplasms (C00-C97),Cancer,Louisiana,9149,171.9
2016,Malignant neoplasms (C00-C97),Cancer,Maine,3275,168.9
2016,Malignant neoplasms (C00-C97),Cancer,Maryland,10911,156.5
2016,Malignant neoplasms (C00-C97),Cancer,Massachusetts,12717,150.2
2016,Malignant neoplasms (C00-C97),Cancer,Michigan,20870,166.4
2016,Malignant neoplasms (C00-C97),Cancer,Minnesota,9857,148.6
2016,Malignant neoplasms (C00-C97),Cancer,Mississippi,6568,187.7
2016,Malignant neoplasms (C00-C97),Cancer,Missouri,12696,167
2016,Malignant neoplasms (C00-C97),Cancer,Montana,2031,145.9
2016,Malignant neoplasms (C00-C97),Cancer,Nebraska,3477,153.6
2016,Malignant neoplasms (C00-C97),Cancer,Nevada,5214,157.3
2016,Malignant neoplasms (C00-C97),Cancer,New Hampshire,2875,164.1
2016,Malignant neoplasms (C00-C97),Cancer,New Jersey,16377,149.7
2016,Malignant neoplasms (C00-C97),Cancer,New Mexico,3560,138.8
2016,Malignant neoplasms (C00-C97),Cancer,New York,35368,147.5
2016,Malignant neoplasms (C00-C97),Cancer,North Carolina,19523,161.6
2016,Malignant neoplasms (C00-C97),Cancer,North Dakota,1253,142.7
2016,Malignant neoplasms (C00-C97),Cancer,Ohio,25509,173.4
2016,Malignant neoplasms (C00-C97),Cancer,Oklahoma,8115,177.8
2016,Malignant neoplasms (C00-C97),Cancer,Oregon,8078,155.9
2016,Malignant neoplasms (C00-C97),Cancer,Pennsylvania,28492,164.7
2016,Malignant neoplasms (C00-C97),Cancer,Rhode Island,2171,158
2016,Malignant neoplasms (C00-C97),Cancer,South Carolina,10356,167.7
2016,Malignant neoplasms (C00-C97),Cancer,South Dakota,1694,156.7
2016,Malignant neoplasms (C00-C97),Cancer,Tennessee,14450,179.9
2016,Malignant neoplasms (C00-C97),Cancer,Texas,40195,148.5
2016,Malignant neoplasms (C00-C97),Cancer,United States,598038,155.8
2016,Malignant neoplasms (C00-C97),Cancer,Utah,3125,122.4
2016,Malignant neoplasms (C00-C97),Cancer,Vermont,1356,158.4
2016,Malignant neoplasms (C00-C97),Cancer,Virginia,15027,156.1
2016,Malignant neoplasms (C00-C97),Cancer,Washington,12594,150.9
2016,Malignant neoplasms (C00-C97),Cancer,West Virginia,4659,182.2
2016,Malignant neoplasms (C00-C97),Cancer,Wisconsin,11498,158
2016,Malignant neoplasms (C00-C97),Cancer,Wyoming,962,140.9
2015,Malignant neoplasms (C00-C97),Cancer,Alabama,10354,175.6
2015,Malignant neoplasms (C00-C97),Cancer,Alaska,978,159.8
2015,Malignant neoplasms (C00-C97),Cancer,Arizona,11776,141.3
2015,Malignant neoplasms (C00-C97),Cancer,Arkansas,6727,185.4
2015,Malignant neoplasms (C00-C97),Cancer,California,59629,142.8
2015,Malignant neoplasms (C00-C97),Cancer,Colorado,7604,134.4
2015,Malignant neoplasms (C00-C97),Cancer,Connecticut,6666,146.2
2015,Malignant neoplasms (C00-C97),Cancer,Delaware,2010,165.6
2015,Malignant neoplasms (C00-C97),Cancer,District of Columbia,1072,167.5
2015,Malignant neoplasms (C00-C97),Cancer,Florida,44027,150.6
2015,Malignant neoplasms (C00-C97),Cancer,Georgia,16945,163
2015,Malignant neoplasms (C00-C97),Cancer,Hawaii,2462,135.3
2015,Malignant neoplasms (C00-C97),Cancer,Idaho,2849,153.6
2015,Malignant neoplasms (C00-C97),Cancer,Illinois,24713,167.6
2015,Malignant neoplasms (C00-C97),Cancer,Indiana,13511,176.3
2015,Malignant neoplasms (C00-C97),Cancer,Iowa,6513,164.1
2015,Malignant neoplasms (C00-C97),Cancer,Kansas,5604,164.6
2015,Malignant neoplasms (C00-C97),Cancer,Kentucky,10312,195.9
2015,Malignant neoplasms (C00-C97),Cancer,Louisiana,9397,180.2
2015,Malignant neoplasms (C00-C97),Cancer,Maine,3398,178
2015,Malignant neoplasms (C00-C97),Cancer,Maryland,10568,155
2015,Malignant neoplasms (C00-C97),Cancer,Massachusetts,12750,152.9
2015,Malignant neoplasms (C00-C97),Cancer,Michigan,20732,168
2015,Malignant neoplasms (C00-C97),Cancer,Minnesota,9925,153
2015,Malignant neoplasms (C00-C97),Cancer,Mississippi,6485,188.4
2015,Malignant neoplasms (C00-C97),Cancer,Missouri,12965,173.4
2015,Malignant neoplasms (C00-C97),Cancer,Montana,2130,156.9
2015,Malignant neoplasms (C00-C97),Cancer,Nebraska,3514,157.8
2015,Malignant neoplasms (C00-C97),Cancer,Nevada,5015,157.2
2015,Malignant neoplasms (C00-C97),Cancer,New Hampshire,2773,161.3
2015,Malignant neoplasms (C00-C97),Cancer,New Jersey,16270,150.8
2015,Malignant neoplasms (C00-C97),Cancer,New Mexico,3591,143.3
2015,Malignant neoplasms (C00-C97),Cancer,New York,35089,148.4
2015,Malignant neoplasms (C00-C97),Cancer,North Carolina,19322,164.7
2015,Malignant neoplasms (C00-C97),Cancer,North Dakota,1320,152.9
2015,Malignant neoplasms (C00-C97),Cancer,Ohio,25396,175.1
2015,Malignant neoplasms (C00-C97),Cancer,Oklahoma,8280,184.3
2015,Malignant neoplasms (C00-C97),Cancer,Oregon,8093,160.2
2015,Malignant neoplasms (C00-C97),Cancer,Pennsylvania,28697,167.2
