State_County,State,FIPS,Freq
AK_Aleutians East Borough,AK,2013,0
AK_Aleutians West Census Area,AK,2016,1
AK_Anchorage Municipality,AK,2020,3
AK_Bethel Census Area,AK,2050,0
AK_Bristol Bay Borough,AK,2060,0
AK_Denali Borough,AK,2068,0
AK_Dillingham Census Area,AK,2070,0
AK_Fairbanks North Star Borough,AK,2090,6
AK_Haines Borough,AK,2100,0
AK_Hoonah-Angoon Census Area,AK,2105,0
AK_Juneau City and Borough,AK,2110,0
AK_Kenai Peninsula Borough,AK,2122,0
AK_Ketchikan Gateway Borough,AK,2130,0
AK_Kodiak Island Borough,AK,2150,0
AK_Lake and Peninsula Borough,AK,2164,0
AK_Matanuska-Susitna Borough,AK,2170,0
AK_Nome Census Area,AK,2180,0
AK_North Slope Borough,AK,2185,0
AK_Northwest Arctic Borough,AK,2188,0
AK_Petersburg Census Area,AK,2195,0
AK_Prince of Wales-Hyder Census Area,AK,2198,0
AK_Sitka City and Borough,AK,2220,0
AK_Skagway Municipality,AK,2230,0
AK_Southeast Fairbanks Census Area,AK,2240,4
AK_Valdez-Cordova Census Area,AK,2261,0
AK_Wade Hampton Census Area,AK,2270,0
AK_Wrangell City and Borough,AK,2275,0
AK_Yakutat City and Borough,AK,2282,0
AK_Yukon-Koyukuk Census Area,AK,2290,2
AL_Autauga,AL,1001,0
AL_Baldwin,AL,1003,0
AL_Barbour,AL,1005,0
AL_Bibb,AL,1007,0
AL_Blount,AL,1009,0
AL_Bullock,AL,1011,0
AL_Butler,AL,1013,0
AL_Calhoun,AL,1015,0
AL_Chambers,AL,1017,0
AL_Cherokee,AL,1019,0
AL_Chilton,AL,1021,0
AL_Choctaw,AL,1023,0
AL_Clarke,AL,1025,0
AL_Clay,AL,1027,0
AL_Cleburne,AL,1029,0
AL_Coffee,AL,1031,0
AL_Colbert,AL,1033,0
AL_Conecuh,AL,1035,0
AL_Coosa,AL,1037,0
AL_Covington,AL,1039,0
AL_Crenshaw,AL,1041,0
AL_Cullman,AL,1043,0
AL_Dale,AL,1045,0
AL_Dallas,AL,1047,0
AL_DeKalb,AL,1049,0
AL_Elmore,AL,1051,0
AL_Escambia,AL,1053,0
AL_Etowah,AL,1055,0
AL_Fayette,AL,1057,0
AL_Franklin,AL,1059,0
AL_Geneva,AL,1061,0
AL_Greene,AL,1063,0
AL_Hale,AL,1065,0
AL_Henry,AL,1067,0
AL_Houston,AL,1069,0
AL_Jackson,AL,1071,0
AL_Jefferson,AL,1073,0
AL_Lamar,AL,1075,0
AL_Lauderdale,AL,1077,0
AL_Lawrence,AL,1079,0
AL_Lee,AL,1081,0
AL_Limestone,AL,1083,0
AL_Lowndes,AL,1085,0
AL_Macon,AL,1087,0
AL_Madison,AL,1089,0
AL_Marengo,AL,1091,0
AL_Marion,AL,1093,0
AL_Marshall,AL,1095,0
AL_Mobile,AL,1097,0
AL_Monroe,AL,1099,0
AL_Montgomery,AL,1101,0
AL_Morgan,AL,1103,0
AL_Perry,AL,1105,0
AL_Pickens,AL,1107,0
AL_Pike,AL,1109,0
AL_Randolph,AL,1111,0
AL_Russell,AL,1113,0
AL_Shelby,AL,1117,0
AL_St. Clair,AL,1115,0
AL_Sumter,AL,1119,0
AL_Talladega,AL,1121,0
AL_Tallapoosa,AL,1123,0
AL_Tuscaloosa,AL,1125,0
AL_Walker,AL,1127,0
AL_Washington,AL,1129,0
AL_Wilcox,AL,1131,0
AL_Winston,AL,1133,0
AR_Arkansas,AR,5001,0
AR_Ashley,AR,5003,0
AR_Baxter,AR,5005,0
AR_Benton,AR,5007,5
AR_Boone,AR,5009,0
AR_Bradley,AR,5011,0
AR_Calhoun,AR,5013,0
AR_Carroll,AR,5015,0
AR_Chicot,AR,5017,0
AR_Clark,AR,5019,0
AR_Clay,AR,5021,0
AR_Cleburne,AR,5023,0
AR_Cleveland,AR,5025,0
AR_Columbia,AR,5027,0
AR_Conway,AR,5029,0
AR_Craighead,AR,5031,0
AR_Crawford,AR,5033,0
AR_Crittenden,AR,5035,0
AR_Cross,AR,5037,0
AR_Dallas,AR,5039,0
AR_Desha,AR,5041,0
AR_Drew,AR,5043,0
AR_Faulkner,AR,5045,0
AR_Franklin,AR,5047,0
AR_Fulton,AR,5049,0
AR_Garland,AR,5051,1
AR_Grant,AR,5053,0
AR_Greene,AR,5055,0
AR_Hempstead,AR,5057,0
AR_Hot Spring,AR,5059,0
AR_Howard,AR,5061,0
AR_Independence,AR,5063,0
AR_Izard,AR,5065,0
AR_Jackson,AR,5067,0
AR_Jefferson,AR,5069,0
AR_Johnson,AR,5071,0
AR_Lafayette,AR,5073,0
AR_Lawrence,AR,5075,0
AR_Lee,AR,5077,0
AR_Lincoln,AR,5079,0
AR_Little River,AR,5081,0
AR_Logan,AR,5083,0
AR_Lonoke,AR,5085,0
AR_Madison,AR,5087,0
AR_Marion,AR,5089,0
AR_Miller,AR,5091,0
AR_Mississippi,AR,5093,0
AR_Monroe,AR,5095,0
AR_Montgomery,AR,5097,0
AR_Nevada,AR,5099,0
AR_Newton,AR,5101,0
AR_Ouachita,AR,5103,0
AR_Perry,AR,5105,0
AR_Phillips,AR,5107,0
AR_Pike,AR,5109,0
AR_Poinsett,AR,5111,0
AR_Polk,AR,5113,0
AR_Pope,AR,5115,0
AR_Prairie,AR,5117,0
AR_Pulaski,AR,5119,0
AR_Randolph,AR,5121,1
AR_Saline,AR,5125,0
AR_Scott,AR,5127,0
AR_Searcy,AR,5129,0
AR_Sebastian,AR,5131,0
AR_Sevier,AR,5133,0
AR_Sharp,AR,5135,0
AR_St. Francis,AR,5123,0
AR_Stone,AR,5137,0
AR_Union,AR,5139,0
AR_Van Buren,AR,5141,0
AR_Washington,AR,5143,0
AR_White,AR,5145,0
AR_Woodruff,AR,5147,0
AR_Yell,AR,5149,0
AS_Eastern District,AS,60010,0
AS_Manu'a District,AS,60020,0
AS_Rose Island,AS,60030,0
AS_Swains Island,AS,60040,0
AS_Western District,AS,60050,0
AZ_Apache,AZ,4001,1
AZ_Cochise,AZ,4003,6
AZ_Coconino,AZ,4005,0
AZ_Gila,AZ,4007,10
AZ_Graham,AZ,4009,2
AZ_Greenlee,AZ,4011,1
AZ_La Paz,AZ,4012,17
AZ_Maricopa,AZ,4013,60
AZ_Mohave,AZ,4015,6
AZ_Navajo,AZ,4017,0
AZ_Pima,AZ,4019,28
AZ_Pinal,AZ,4021,116
AZ_Santa Cruz,AZ,4023,2
AZ_Yavapai,AZ,4025,29
AZ_Yuma,AZ,4027,8
CA_Alameda,CA,6001,0
CA_Alpine,CA,6003,0
CA_Amador,CA,6005,0
CA_Butte,CA,6007,3
CA_Calaveras,CA,6009,0
CA_Colusa,CA,6011,0
CA_Contra Costa,CA,6013,9
CA_Del Norte,CA,6015,0
CA_El Dorado,CA,6017,0
CA_Fresno,CA,6019,84
CA_Glenn,CA,6021,1
CA_Humboldt,CA,6023,0
CA_Imperial,CA,6025,0
CA_Inyo,CA,6027,1
CA_Kern,CA,6029,165
CA_Kings,CA,6031,0
CA_Lake,CA,6033,2
CA_Lassen,CA,6035,1
CA_Los Angeles,CA,6037,9
CA_Madera,CA,6039,30
CA_Marin,CA,6041,1
CA_Mariposa,CA,6043,1
CA_Mendocino,CA,6045,0
CA_Merced,CA,6047,25
CA_Modoc,CA,6049,0
CA_Mono,CA,6051,0
CA_Monterey,CA,6053,122
CA_Napa,CA,6055,2
CA_Nevada,CA,6057,0
CA_Orange,CA,6059,0
CA_Placer,CA,6061,3
CA_Plumas,CA,6063,3
CA_Riverside,CA,6065,25
CA_Sacramento,CA,6067,2
CA_San Benito,CA,6069,24
CA_San Bernardino,CA,6071,20
CA_San Diego,CA,6073,41
CA_San Francisco,CA,6075,0
CA_San Joaquin,CA,6077,57
CA_San Luis Obispo,CA,6079,3
CA_San Mateo,CA,6081,1
CA_Santa Barbara,CA,6083,4
CA_Santa Clara,CA,6085,25
CA_Santa Cruz,CA,6087,0
CA_Shasta,CA,6089,2
CA_Sierra,CA,6091,0
CA_Siskiyou,CA,6093,8
CA_Solano,CA,6095,8
CA_Sonoma,CA,6097,15
CA_Stanislaus,CA,6099,55
CA_Sutter,CA,6101,44
CA_Tehama,CA,6103,3
CA_Trinity,CA,6105,0
CA_Tulare,CA,6107,555
CA_Tuolumne,CA,6109,0
CA_Ventura,CA,6111,3
CA_Yolo,CA,6113,26
CA_Yuba,CA,6115,0
CO_Adams,CO,8001,7
CO_Alamosa,CO,8003,0
CO_Arapahoe,CO,8005,1
