"Notes"	"Year"	"Year Code"	"State"	"State Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	Age Adjusted Rate	% of Total Deaths
	"2018"	"2018"	"Alabama"	"01"	"Female"	"F"	140	2523756	5.55	4.21	0.16%
	"2018"	"2018"	"Alabama"	"01"	"Male"	"M"	158	2364115	6.68	5.79	0.18%
	"2018"	"2018"	"Alaska"	"02"	"Female"	"F"	11	352865	Unreliable	Unreliable	0.01%
	"2018"	"2018"	"Alaska"	"02"	"Male"	"M"	24	384573	6.24	5.88	0.03%
	"2018"	"2018"	"Arizona"	"04"	"Female"	"F"	160	3606307	4.44	3.36	0.18%
	"2018"	"2018"	"Arizona"	"04"	"Male"	"M"	206	3565339	5.78	4.95	0.23%
	"2018"	"2018"	"Arkansas"	"05"	"Female"	"F"	83	1533682	5.41	4.12	0.09%
	"2018"	"2018"	"Arkansas"	"05"	"Male"	"M"	79	1480143	5.34	4.62	0.09%
	"2018"	"2018"	"California"	"06"	"Female"	"F"	799	19893468	4.02	3.38	0.91%
	"2018"	"2018"	"California"	"06"	"Male"	"M"	1159	19663577	5.89	5.66	1.31%
	"2018"	"2018"	"Colorado"	"08"	"Female"	"F"	106	2827696	3.75	3.27	0.12%
	"2018"	"2018"	"Colorado"	"08"	"Male"	"M"	152	2867868	5.30	5.13	0.17%
	"2018"	"2018"	"Connecticut"	"09"	"Female"	"F"	88	1829270	4.81	3.66	0.10%
	"2018"	"2018"	"Connecticut"	"09"	"Male"	"M"	108	1743395	6.19	5.36	0.12%
	"2018"	"2018"	"Delaware"	"10"	"Female"	"F"	17	499244	Unreliable	Unreliable	0.02%
	"2018"	"2018"	"Delaware"	"10"	"Male"	"M"	30	467927	6.41	5.23	0.03%
	"2018"	"2018"	"District of Columbia"	"11"	"Female"	"F"	20	369148	5.42	5.21	0.02%
	"2018"	"2018"	"District of Columbia"	"11"	"Male"	"M"	10	333307	Unreliable	Unreliable	0.01%
	"2018"	"2018"	"Florida"	"12"	"Female"	"F"	544	10887548	5.00	3.47	0.62%
	"2018"	"2018"	"Florida"	"12"	"Male"	"M"	657	10411777	6.31	4.80	0.74%
	"2018"	"2018"	"Georgia"	"13"	"Female"	"F"	220	5404059	4.07	3.51	0.25%
	"2018"	"2018"	"Georgia"	"13"	"Male"	"M"	281	5115416	5.49	5.35	0.32%
	"2018"	"2018"	"Hawaii"	"15"	"Female"	"F"	22	709489	3.10	2.61	0.02%
	"2018"	"2018"	"Hawaii"	"15"	"Male"	"M"	29	711002	4.08	3.49	0.03%
	"2018"	"2018"	"Idaho"	"16"	"Female"	"F"	42	875131	4.80	3.97	0.05%
	"2018"	"2018"	"Idaho"	"16"	"Male"	"M"	58	879077	6.60	5.96	0.07%
	"2018"	"2018"	"Illinois"	"17"	"Female"	"F"	268	6480179	4.14	3.25	0.30%
	"2018"	"2018"	"Illinois"	"17"	"Male"	"M"	340	6260901	5.43	4.90	0.39%
	"2018"	"2018"	"Indiana"	"18"	"Female"	"F"	151	3391576	4.45	3.61	0.17%
	"2018"	"2018"	"Indiana"	"18"	"Male"	"M"	207	3300302	6.27	5.77	0.23%
	"2018"	"2018"	"Iowa"	"19"	"Female"	"F"	80	1585338	5.05	4.13	0.09%
	"2018"	"2018"	"Iowa"	"19"	"Male"	"M"	110	1570807	7.00	5.99	0.12%
	"2018"	"2018"	"Kansas"	"20"	"Female"	"F"	89	1461099	6.09	4.97	0.10%
	"2018"	"2018"	"Kansas"	"20"	"Male"	"M"	89	1450406	6.14	5.40	0.10%
	"2018"	"2018"	"Kentucky"	"21"	"Female"	"F"	109	2266891	4.81	3.77	0.12%
	"2018"	"2018"	"Kentucky"	"21"	"Male"	"M"	156	2201511	7.09	6.19	0.18%
	"2018"	"2018"	"Louisiana"	"22"	"Female"	"F"	101	2385219	4.23	3.43	0.11%
	"2018"	"2018"	"Louisiana"	"22"	"Male"	"M"	117	2274759	5.14	4.68	0.13%
	"2018"	"2018"	"Maine"	"23"	"Female"	"F"	43	683031	6.30	4.19	0.05%
	"2018"	"2018"	"Maine"	"23"	"Male"	"M"	69	655373	10.53	7.82	0.08%
	"2018"	"2018"	"Maryland"	"24"	"Female"	"F"	130	3113797	4.17	3.51	0.15%
	"2018"	"2018"	"Maryland"	"24"	"Male"	"M"	157	2928921	5.36	4.92	0.18%
	"2018"	"2018"	"Massachusetts"	"25"	"Female"	"F"	178	3551621	5.01	3.86	0.20%
	"2018"	"2018"	"Massachusetts"	"25"	"Male"	"M"	198	3350528	5.91	5.10	0.22%
	"2018"	"2018"	"Michigan"	"26"	"Female"	"F"	235	5073772	4.63	3.54	0.27%
	"2018"	"2018"	"Michigan"	"26"	"Male"	"M"	331	4922143	6.72	5.65	0.38%
	"2018"	"2018"	"Minnesota"	"27"	"Female"	"F"	135	2816378	4.79	4.04	0.15%
	"2018"	"2018"	"Minnesota"	"27"	"Male"	"M"	185	2794801	6.62	5.76	0.21%
	"2018"	"2018"	"Mississippi"	"28"	"Female"	"F"	79	1538795	5.13	4.16	0.09%
	"2018"	"2018"	"Mississippi"	"28"	"Male"	"M"	98	1447735	6.77	6.26	0.11%
	"2018"	"2018"	"Missouri"	"29"	"Female"	"F"	138	3118889	4.42	3.42	0.16%
	"2018"	"2018"	"Missouri"	"29"	"Male"	"M"	189	3007563	6.28	5.37	0.21%
	"2018"	"2018"	"Montana"	"30"	"Female"	"F"	25	527453	4.74	4.31	0.03%
	"2018"	"2018"	"Montana"	"30"	"Male"	"M"	41	534852	7.67	6.16	0.05%
	"2018"	"2018"	"Nebraska"	"31"	"Female"	"F"	41	965886	4.24	3.51	0.05%
	"2018"	"2018"	"Nebraska"	"31"	"Male"	"M"	70	963382	7.27	6.76	0.08%
	"2018"	"2018"	"Nevada"	"32"	"Female"	"F"	63	1512837	4.16	3.38	0.07%
	"2018"	"2018"	"Nevada"	"32"	"Male"	"M"	87	1521555	5.72	5.07	0.10%
	"2018"	"2018"	"New Hampshire"	"33"	"Female"	"F"	35	684192	5.12	3.95	0.04%
	"2018"	"2018"	"New Hampshire"	"33"	"Male"	"M"	47	672266	6.99	5.46	0.05%
	"2018"	"2018"	"New Jersey"	"34"	"Female"	"F"	204	4556326	4.48	3.45	0.23%
	"2018"	"2018"	"New Jersey"	"34"	"Male"	"M"	250	4352194	5.74	5.07	0.28%
	"2018"	"2018"	"New Mexico"	"35"	"Female"	"F"	45	1058143	4.25	3.29	0.05%
	"2018"	"2018"	"New Mexico"	"35"	"Male"	"M"	47	1037285	4.53	3.71	0.05%
	"2018"	"2018"	"New York"	"36"	"Female"	"F"	420	10053779	4.18	3.28	0.48%
	"2018"	"2018"	"New York"	"36"	"Male"	"M"	527	9488430	5.55	4.92	0.60%
	"2018"	"2018"	"North Carolina"	"37"	"Female"	"F"	205	5332759	3.84	3.06	0.23%
	"2018"	"2018"	"North Carolina"	"37"	"Male"	"M"	305	5050861	6.04	5.46	0.35%
	"2018"	"2018"	"North Dakota"	"38"	"Female"	"F"	17	370727	Unreliable	Unreliable	0.02%
	"2018"	"2018"	"North Dakota"	"38"	"Male"	"M"	22	389350	5.65	5.48	0.02%
	"2018"	"2018"	"Ohio"	"39"	"Female"	"F"	278	5958724	4.67	3.43	0.32%
	"2018"	"2018"	"Ohio"	"39"	"Male"	"M"	381	5730718	6.65	5.68	0.43%
	"2018"	"2018"	"Oklahoma"	"40"	"Female"	"F"	106	1990033	5.33	4.26	0.12%
	"2018"	"2018"	"Oklahoma"	"40"	"Male"	"M"	131	1953046	6.71	6.33	0.15%
	"2018"	"2018"	"Oregon"	"41"	"Female"	"F"	96	2113219	4.54	3.55	0.11%
	"2018"	"2018"	"Oregon"	"41"	"Male"	"M"	163	2077494	7.85	6.50	0.18%
