"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"< 1 year"	"1"	0	30075	0.00
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"60-64 years "	"60-64"	23	88690	25.93
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	"65-69 years"	"65-69"	18	75958	23.70
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"70-74 years"	"70-74"	19	85070	22.33
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	"75-79 years"	"75-79"	16	71984	22.23
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	"70-74 years"	"70-74"	16	63735	25.10
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"< 1 year"	"1"	0	30131	0.00
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"55-59 years"	"55-59"	17	120592	14.10
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	"75-79 years"	"75-79"	20	71899	27.82
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"< 1 year"	"1"	0	31406	0.00
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"55-59 years"	"55-59"	23	110610	20.79
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	"65-69 years"	"65-69"	19	77545	24.50
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"15-19 years"	"15-19"	0	157222	0.00
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	"75-79 years"	"75-79"	17	71975	23.62
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"< 1 year"	"1"	0	29829	0.00
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	"55-59 years"	"55-59"	17	119508	14.22
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"< 1 year"	"1"	0	28339	0.00
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	"10-14 years"	"10-14"	0	159266	0.00
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"55-59 years"	"55-59"	20	124704	16.04
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"60-64 years "	"60-64"	17	97551	17.43
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	"70-74 years"	"70-74"	16	64399	24.85
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"55-59 years"	"55-59"	17	130369	13.04
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"60-64 years "	"60-64"	21	101698	20.65
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	"65-69 years"	"65-69"	16	81138	19.72
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	"15-19 years"	"15-19"	0	161596	0.00
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"50-54 years"	"50-54"	22	152556	14.42
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"55-59 years"	"55-59"	18	136935	13.14
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"65-69 years"	"65-69"	16	82992	19.28
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	"70-74 years"	"70-74"	18	66019	27.26
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	"65-69 years"	"65-69"	17	99080	17.16
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"< 1 year"	"1"	0	30975	0.00
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"55-59 years"	"55-59"	16	143669	11.14
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"60-64 years "	"60-64"	16	107124	14.94
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	"65-69 years"	"65-69"	17	85514	19.88
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	"50-54 years"	"50-54"	17	171281	9.93
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"50-54 years"	"50-54"	17	161263	10.54
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"55-59 years"	"55-59"	21	143382	14.65
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"60-64 years "	"60-64"	17	115910	14.67
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"65-69 years"	"65-69"	23	88097	26.11
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	"70-74 years"	"70-74"	17	68202	24.93
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"65-69 years"	"65-69"	20	106023	18.86
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	"75-79 years"	"75-79"	16	70861	22.58
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"50-54 years"	"50-54"	20	164801	12.14
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"55-59 years"	"55-59"	18	145011	12.41
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"60-64 years "	"60-64"	24	121294	19.79
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"65-69 years"	"65-69"	26	92099	28.23
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"70-74 years"	"70-74"	18	69592	25.87
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	"75-79 years"	"75-79"	20	51001	39.21
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"< 1 year"	"1"	0	30462	0.00
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"50-54 years"	"50-54"	16	177413	9.02
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"60-64 years "	"60-64"	17	139157	12.22
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"65-69 years"	"65-69"	16	109638	14.59
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"70-74 years"	"70-74"	23	88061	26.12
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	"80-84 years"	"80-84"	16	54967	29.11
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"50-54 years"	"50-54"	27	167065	16.16
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"55-59 years"	"55-59"	20	147180	13.59
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"60-64 years "	"60-64"	22	126713	17.36
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	"70-74 years"	"70-74"	20	71027	28.16
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"55-59 years"	"55-59"	19	163397	11.63
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	"85+ years"	"85+"	19	53158	35.74
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"< 1 year"	"1"	0	30140	0.00
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"55-59 years"	"55-59"	23	150845	15.25
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"60-64 years "	"60-64"	19	132800	14.31
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"65-69 years"	"65-69"	21	98401	21.34
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	"70-74 years"	"70-74"	19	72560	26.19
