"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	Count
	"Alabama"	"01"	"1999"	"1999"	"Female"	"F"	129
	"Alabama"	"01"	"1999"	"1999"	"Male"	"M"	166
	"Alabama"	"01"	"2000"	"2000"	"Female"	"F"	146
	"Alabama"	"01"	"2000"	"2000"	"Male"	"M"	150
	"Alabama"	"01"	"2001"	"2001"	"Female"	"F"	144
	"Alabama"	"01"	"2001"	"2001"	"Male"	"M"	157
	"Alabama"	"01"	"2002"	"2002"	"Female"	"F"	139
	"Alabama"	"01"	"2002"	"2002"	"Male"	"M"	169
	"Alabama"	"01"	"2003"	"2003"	"Female"	"F"	131
	"Alabama"	"01"	"2003"	"2003"	"Male"	"M"	169
	"Alabama"	"01"	"2004"	"2004"	"Female"	"F"	144
	"Alabama"	"01"	"2004"	"2004"	"Male"	"M"	173
	"Alabama"	"01"	"2005"	"2005"	"Female"	"F"	140
	"Alabama"	"01"	"2005"	"2005"	"Male"	"M"	159
	"Alabama"	"01"	"2006"	"2006"	"Female"	"F"	164
	"Alabama"	"01"	"2006"	"2006"	"Male"	"M"	144
	"Alabama"	"01"	"2007"	"2007"	"Female"	"F"	146
	"Alabama"	"01"	"2007"	"2007"	"Male"	"M"	188
	"Alabama"	"01"	"2008"	"2008"	"Female"	"F"	171
	"Alabama"	"01"	"2008"	"2008"	"Male"	"M"	201
	"Alabama"	"01"	"2009"	"2009"	"Female"	"F"	161
	"Alabama"	"01"	"2009"	"2009"	"Male"	"M"	200
	"Alabama"	"01"	"2010"	"2010"	"Female"	"F"	153
	"Alabama"	"01"	"2010"	"2010"	"Male"	"M"	179
	"Alabama"	"01"	"2011"	"2011"	"Female"	"F"	134
	"Alabama"	"01"	"2011"	"2011"	"Male"	"M"	196
	"Alabama"	"01"	"2012"	"2012"	"Female"	"F"	176
	"Alabama"	"01"	"2012"	"2012"	"Male"	"M"	219
	"Alabama"	"01"	"2013"	"2013"	"Female"	"F"	170
	"Alabama"	"01"	"2013"	"2013"	"Male"	"M"	185
	"Alabama"	"01"	"2014"	"2014"	"Female"	"F"	155
	"Alabama"	"01"	"2014"	"2014"	"Male"	"M"	165
	"Alabama"	"01"	"2015"	"2015"	"Female"	"F"	143
	"Alabama"	"01"	"2015"	"2015"	"Male"	"M"	201
	"Alabama"	"01"	"2016"	"2016"	"Female"	"F"	156
	"Alabama"	"01"	"2016"	"2016"	"Male"	"M"	195
	"Alabama"	"01"	"2017"	"2017"	"Female"	"F"	160
	"Alabama"	"01"	"2017"	"2017"	"Male"	"M"	178
	"Alabama"	"01"	"2018"	"2018"	"Female"	"F"	190
	"Alabama"	"01"	"2018"	"2018"	"Male"	"M"	211
	"Alabama"	"01"	"2019"	"2019"	"Female"	"F"	157
	"Alabama"	"01"	"2019"	"2019"	"Male"	"M"	207
	"Alabama"	"01"	"2020"	"2020"	"Female"	"F"	194
	"Alabama"	"01"	"2020"	"2020"	"Male"	"M"	204
	"Alabama"	"01"	"2021"	"2021"	"Female"	"F"	195
	"Alabama"	"01"	"2021"	"2021"	"Male"	"M"	211
	"Alaska"	"02"	"1999"	"1999"	"Female"	"F"	19
	"Alaska"	"02"	"1999"	"1999"	"Male"	"M"	16
	"Alaska"	"02"	"2000"	"2000"	"Male"	"M"	16
	"Alaska"	"02"	"2001"	"2001"	"Male"	"M"	23
	"Alaska"	"02"	"2002"	"2002"	"Male"	"M"	24
	"Alaska"	"02"	"2003"	"2003"	"Male"	"M"	17
	"Alaska"	"02"	"2004"	"2004"	"Male"	"M"	26
	"Alaska"	"02"	"2005"	"2005"	"Female"	"F"	19
	"Alaska"	"02"	"2005"	"2005"	"Male"	"M"	19
	"Alaska"	"02"	"2007"	"2007"	"Female"	"F"	25
	"Alaska"	"02"	"2007"	"2007"	"Male"	"M"	16
	"Alaska"	"02"	"2008"	"2008"	"Female"	"F"	21
	"Alaska"	"02"	"2008"	"2008"	"Male"	"M"	24
	"Alaska"	"02"	"2009"	"2009"	"Female"	"F"	18
	"Alaska"	"02"	"2009"	"2009"	"Male"	"M"	38
	"Alaska"	"02"	"2010"	"2010"	"Female"	"F"	25
	"Alaska"	"02"	"2010"	"2010"	"Male"	"M"	46
	"Alaska"	"02"	"2011"	"2011"	"Female"	"F"	16
	"Alaska"	"02"	"2011"	"2011"	"Male"	"M"	26
	"Alaska"	"02"	"2012"	"2012"	"Female"	"F"	16
	"Alaska"	"02"	"2012"	"2012"	"Male"	"M"	28
	"Alaska"	"02"	"2013"	"2013"	"Male"	"M"	24
	"Alaska"	"02"	"2014"	"2014"	"Female"	"F"	20
	"Alaska"	"02"	"2014"	"2014"	"Male"	"M"	20
	"Alaska"	"02"	"2015"	"2015"	"Female"	"F"	26
	"Alaska"	"02"	"2015"	"2015"	"Male"	"M"	27
	"Alaska"	"02"	"2016"	"2016"	"Female"	"F"	22
	"Alaska"	"02"	"2016"	"2016"	"Male"	"M"	35
	"Alaska"	"02"	"2017"	"2017"	"Female"	"F"	20
	"Alaska"	"02"	"2017"	"2017"	"Male"	"M"	32
	"Alaska"	"02"	"2018"	"2018"	"Male"	"M"	29
	"Alaska"	"02"	"2019"	"2019"	"Female"	"F"	19
