Year,States,Race,Race Code,Age Groups,Sex Code,Count,Population
1999,Alabama,American Indian or Alaska Native,1002-5,0-1 years,F,0,104
1999,Alabama,American Indian or Alaska Native,1002-5,0-1 years,M,0,122
1999,Alabama,American Indian or Alaska Native,1002-5,1-4 years,F,0,535
1999,Alabama,American Indian or Alaska Native,1002-5,1-4 years,M,0,507
1999,Alabama,American Indian or Alaska Native,1002-5,5-9 years,F,0,874
1999,Alabama,American Indian or Alaska Native,1002-5,5-9 years,M,0,882
1999,Alabama,American Indian or Alaska Native,1002-5,10-14 years,F,0,985
1999,Alabama,American Indian or Alaska Native,1002-5,10-14 years,M,0,970
1999,Alabama,American Indian or Alaska Native,1002-5,15-19 years,F,0,1127
1999,Alabama,American Indian or Alaska Native,1002-5,15-19 years,M,0,1278
1999,Alabama,American Indian or Alaska Native,1002-5,20-24 years,F,0,890
1999,Alabama,American Indian or Alaska Native,1002-5,20-24 years,M,0,922
1999,Alabama,American Indian or Alaska Native,1002-5,25-29 years,F,0,765
1999,Alabama,American Indian or Alaska Native,1002-5,25-29 years,M,0,826
1999,Alabama,American Indian or Alaska Native,1002-5,30-34 years,F,0,779
1999,Alabama,American Indian or Alaska Native,1002-5,30-34 years,M,0,815
1999,Alabama,American Indian or Alaska Native,1002-5,35-39 years,F,0,975
1999,Alabama,American Indian or Alaska Native,1002-5,35-39 years,M,0,914
1999,Alabama,American Indian or Alaska Native,1002-5,40-44 years,F,0,1210
1999,Alabama,American Indian or Alaska Native,1002-5,40-44 years,M,0,1005
1999,Alabama,American Indian or Alaska Native,1002-5,45-49 years,F,0,931
1999,Alabama,American Indian or Alaska Native,1002-5,45-49 years,M,0,930
1999,Alabama,American Indian or Alaska Native,1002-5,50-54 years,F,0,756
1999,Alabama,American Indian or Alaska Native,1002-5,50-54 years,M,0,777
1999,Alabama,American Indian or Alaska Native,1002-5,55-59 years,F,0,538
1999,Alabama,American Indian or Alaska Native,1002-5,55-59 years,M,0,529
1999,Alabama,American Indian or Alaska Native,1002-5,60-64 years ,F,0,311
1999,Alabama,American Indian or Alaska Native,1002-5,60-64 years ,M,0,333
1999,Alabama,American Indian or Alaska Native,1002-5,65-69 years,F,0,219
1999,Alabama,American Indian or Alaska Native,1002-5,65-69 years,M,0,179
1999,Alabama,American Indian or Alaska Native,1002-5,70-74 years,F,0,179
1999,Alabama,American Indian or Alaska Native,1002-5,70-74 years,M,0,142
1999,Alabama,American Indian or Alaska Native,1002-5,75-79 years,F,0,116
1999,Alabama,American Indian or Alaska Native,1002-5,75-79 years,M,0,85
1999,Alabama,American Indian or Alaska Native,1002-5,80-84 years,F,0,66
1999,Alabama,American Indian or Alaska Native,1002-5,80-84 years,M,0,23
1999,Alabama,American Indian or Alaska Native,1002-5,85+ years,F,0,51
1999,Alabama,American Indian or Alaska Native,1002-5,85+ years,M,0,16
1999,Alaska,American Indian or Alaska Native,1002-5,0-1 years,F,0,918
1999,Alaska,American Indian or Alaska Native,1002-5,0-1 years,M,0,1079
1999,Alaska,American Indian or Alaska Native,1002-5,1-4 years,F,0,4054
1999,Alaska,American Indian or Alaska Native,1002-5,1-4 years,M,0,4438
1999,Alaska,American Indian or Alaska Native,1002-5,5-9 years,M,0,6415
1999,Alaska,American Indian or Alaska Native,1002-5,10-14 years,F,0,6209
