States,States Code,Year,Sex,Age Groups,Count,Population,Crude Rate
Alabama,1,1999,Male,0-1 years,0,30075,0
Alabama,1,1999,Male,60-64 years ,23,88690,25.93
Alabama,1,1999,Male,65-69 years,18,75958,23.7
Alabama,1,2000,Female,70-74 years,19,85070,22.33
Alabama,1,2000,Female,75-79 years,16,71984,22.23
Alabama,1,2000,Male,70-74 years,16,63735,25.1
Alabama,1,2001,Female,0-1 years,0,30131,0
Alabama,1,2001,Female,55-59 years,17,120592,14.1
Alabama,1,2001,Female,75-79 years,20,71899,27.82
Alabama,1,2001,Male,0-1 years,0,31406,0
Alabama,1,2001,Male,55-59 years,23,110610,20.79
Alabama,1,2001,Male,65-69 years,19,77545,24.5
Alabama,1,2002,Female,15-19 years,0,157222,0
Alabama,1,2002,Female,75-79 years,17,71975,23.62
Alabama,1,2002,Male,0-1 years,0,29829,0
Alabama,1,2002,Male,55-59 years,17,119508,14.22
Alabama,1,2003,Female,0-1 years,0,28339,0
Alabama,1,2003,Female,10-14 years,0,159266,0
Alabama,1,2003,Male,55-59 years,20,124704,16.04
Alabama,1,2003,Male,60-64 years ,17,97551,17.43
Alabama,1,2003,Male,70-74 years,16,64399,24.85
Alabama,1,2004,Male,55-59 years,17,130369,13.04
Alabama,1,2004,Male,60-64 years ,21,101698,20.65
Alabama,1,2004,Male,65-69 years,16,81138,19.72
Alabama,1,2005,Female,15-19 years,0,161596,0
Alabama,1,2005,Male,50-54 years,22,152556,14.42
Alabama,1,2005,Male,55-59 years,18,136935,13.14
Alabama,1,2005,Male,65-69 years,16,82992,19.28
Alabama,1,2005,Male,70-74 years,18,66019,27.26
Alabama,1,2006,Female,65-69 years,17,99080,17.16
Alabama,1,2006,Male,0-1 years,0,30975,0
Alabama,1,2006,Male,55-59 years,16,143669,11.14
Alabama,1,2006,Male,60-64 years ,16,107124,14.94
Alabama,1,2006,Male,65-69 years,17,85514,19.88
Alabama,1,2007,Female,50-54 years,17,171281,9.93
Alabama,1,2007,Male,50-54 years,17,161263,10.54
Alabama,1,2007,Male,55-59 years,21,143382,14.65
Alabama,1,2007,Male,60-64 years ,17,115910,14.67
Alabama,1,2007,Male,65-69 years,23,88097,26.11
Alabama,1,2007,Male,70-74 years,17,68202,24.93
Alabama,1,2008,Female,65-69 years,20,106023,18.86
Alabama,1,2008,Female,75-79 years,16,70861,22.58
Alabama,1,2008,Male,50-54 years,20,164801,12.14
Alabama,1,2008,Male,55-59 years,18,145011,12.41
Alabama,1,2008,Male,60-64 years ,24,121294,19.79
Alabama,1,2008,Male,65-69 years,26,92099,28.23
Alabama,1,2008,Male,70-74 years,18,69592,25.87
Alabama,1,2008,Male,75-79 years,20,51001,39.21
Alabama,1,2009,Female,0-1 years,0,30462,0
Alabama,1,2009,Female,50-54 years,16,177413,9.02
Alabama,1,2009,Female,60-64 years ,17,139157,12.22
Alabama,1,2009,Female,65-69 years,16,109638,14.59
Alabama,1,2009,Female,70-74 years,23,88061,26.12
Alabama,1,2009,Female,80-84 years,16,54967,29.11
Alabama,1,2009,Male,50-54 years,27,167065,16.16
Alabama,1,2009,Male,55-59 years,20,147180,13.59
Alabama,1,2009,Male,60-64 years ,22,126713,17.36
Alabama,1,2009,Male,70-74 years,20,71027,28.16
Alabama,1,2010,Female,55-59 years,19,163397,11.63
