REPORTING_YEAR,STATE_ABBR,CHEM_NAME,CARCINOGEN,CLEAN_AIR,LIST_3350,PBT_IND,PFAS_IND
2000,MS,Toluene diisocyanate (mixed isomers),Y,N,N,N,N
2000,AR,Styrene,Y,Y,N,N,N
2000,OH,Nickel compounds,Y,Y,Y,N,N
2000,VA,Cobalt compounds,Y,Y,N,N,N
2000,NC,Styrene,Y,Y,N,N,N
2000,GA,Tetrachloroethylene,Y,Y,Y,N,N
2000,CA,Vinyl acetate,Y,Y,N,N,N
2000,KY,Ethyl acrylate,Y,Y,N,N,N
2000,KY,Nickel,Y,Y,Y,N,N
2000,SC,Aniline,Y,Y,N,N,N
2000,TX,"Toluene-2,4-diisocyanate",Y,Y,N,N,N
2000,OH,Vinyl acetate,Y,Y,N,N,N
2000,WA,Cumene,Y,Y,N,N,N
2000,MI,Polycyclic aromatic compounds,Y,Y,N,Y,N
2000,MI,Di(2-ethylhexyl) phthalate,Y,Y,N,N,N
2000,OK,Benzene,Y,Y,Y,N,N
2000,SD,Formaldehyde,Y,Y,N,N,N
2000,AL,Ethylene oxide,Y,Y,N,N,N
2000,KY,"1,1,1,2-Tetrachloroethane",Y,N,N,N,N
2000,CA,Methyl isobutyl ketone,Y,Y,Y,N,N
2000,PA,Benzene,Y,Y,Y,N,N
2000,RI,Styrene,Y,Y,N,N,N
2000,MT,Cadmium compounds,Y,Y,Y,N,N
2000,CA,Molybdenum trioxide,Y,N,N,N,N
2000,GA,Acetaldehyde,Y,Y,N,N,N
2000,VA,Chloroform,Y,Y,Y,N,N
2000,MS,Cobalt compounds,Y,Y,N,N,N
2000,AR,"1,2-Dichloropropane",Y,Y,N,N,N
2000,ME,Acrolein,Y,Y,N,N,N
2000,GA,Acrylonitrile,Y,Y,N,N,N
2000,WV,Arsenic compounds,Y,Y,N,N,N
2000,OR,Tetrachloroethylene,Y,Y,Y,N,N
2000,DE,Nickel compounds,Y,Y,Y,N,N
2000,VA,Cadmium,Y,Y,Y,N,N
2000,IL,"2,4-D",Y,Y,N,N,N
2000,PA,p-Chloroaniline,Y,N,N,N,N
2000,PA,Asbestos (friable),Y,Y,N,N,N
2000,PA,Acetaldehyde,Y,Y,N,N,N
2000,ID,Cadmium compounds,Y,Y,Y,N,N
2000,PR,Naphthalene,Y,Y,N,N,N
2000,MA,Ethyl acrylate,Y,Y,N,N,N
2000,PA,Beryllium,Y,Y,N,N,N
2000,WV,Benzoic trichloride,Y,Y,N,N,N
2000,LA,Nitrilotriacetic acid,Y,N,N,N,N
2000,LA,Molybdenum trioxide,Y,N,N,N,N
