state,avg_max_aqi,avg_x90th_percentile_aqi,avg_median_aqi,year,avg_max_aqi_2020,avg_x90th_percentile_aqi_2020,avg_median_aqi_2020
Alabama,145.52380952380952,93.57142857142857,54.38095238095238,1999,NA,NA,NA
Alaska,107,51.666666666666664,23.666666666666668,1999,NA,NA,NA
Arizona,125.58333333333333,79.41666666666667,48.75,1999,NA,NA,NA
Arkansas,112.94444444444444,81.05555555555556,55.44444444444444,1999,NA,NA,NA
California,222.32142857142858,103.42857142857143,51.55357142857143,1999,NA,NA,NA
Canada,133,47,34,1999,NA,NA,NA
Colorado,131.2,53.5,30.366666666666667,1999,NA,NA,NA
Connecticut,211.875,99.375,44.5,1999,NA,NA,NA
Country Of Mexico,795.3333333333334,131.33333333333334,73.66666666666667,1999,NA,NA,NA
Delaware,205.66666666666666,123.66666666666667,55,1999,NA,NA,NA
District Of Columbia,210,129,63,1999,NA,NA,NA
Florida,133.42424242424244,68.75757575757575,39.121212121212125,1999,NA,NA,NA
Georgia,168.03225806451613,114.64516129032258,56,1999,NA,NA,NA
Hawaii,102.33333333333333,39.333333333333336,21.666666666666668,1999,NA,NA,NA
Idaho,124.42105263157895,51.78947368421053,27.894736842105264,1999,NA,NA,NA
Illinois,161.52173913043478,79,37.95652173913044,1999,NA,NA,NA
Indiana,159.1,103.36666666666666,47.86666666666667,1999,NA,NA,NA
Iowa,120.375,71.3125,42.75,1999,NA,NA,NA
Kansas,110,71.8,38.3,1999,NA,NA,NA
Kentucky,163.55263157894737,106.1842105263158,49.86842105263158,1999,NA,NA,NA
Louisiana,166.91666666666666,94.5,45.833333333333336,1999,NA,NA,NA
Maine,150.57142857142858,57.5,32.42857142857143,1999,NA,NA,NA
Maryland,196.6,124.73333333333333,45.6,1999,NA,NA,NA
Massachusetts,180.63636363636363,84.36363636363636,46.18181818181818,1999,NA,NA,NA
Michigan,166.3448275862069,97.55172413793103,41.758620689655174,1999,NA,NA,NA
Minnesota,78.95,47.7,26.8,1999,NA,NA,NA
Mississippi,142.1,90.7,51.15,1999,NA,NA,NA
Missouri,168.66666666666666,92.4,50.4,1999,NA,NA,NA
Montana,90.8,41.86666666666667,19.066666666666666,1999,NA,NA,NA
Nebraska,95.16666666666667,60.75,38.5,1999,NA,NA,NA
Nevada,143.57142857142858,71.42857142857143,43,1999,NA,NA,NA
New Hampshire,154.7,68.3,38.6,1999,NA,NA,NA
New Jersey,183.88235294117646,97.58823529411765,41.88235294117647,1999,NA,NA,NA
New Mexico,98.5,51.625,30.9375,1999,NA,NA,NA
New York,172.19354838709677,81.54838709677419,38.903225806451616,1999,NA,NA,NA
North Carolina,160.32,104.3,53.54,1999,NA,NA,NA
North Dakota,74,41.36363636363637,27.545454545454547,1999,NA,NA,NA
Ohio,168.0204081632653,100.91836734693878,46.244897959183675,1999,NA,NA,NA
Oklahoma,126.71428571428571,78.04761904761905,42.142857142857146,1999,NA,NA,NA
Oregon,119.9375,65.1875,37,1999,NA,NA,NA
Pennsylvania,191.02941176470588,102.8529411764706,45.44117647058823,1999,NA,NA,NA
Puerto Rico,70,51.733333333333334,31.2,1999,NA,NA,NA
Rhode Island,199.66666666666666,89.66666666666667,44,1999,NA,NA,NA
South Carolina,160.56,97.6,48.6,1999,NA,NA,NA
South Dakota,98,57,32.75,1999,NA,NA,NA
Tennessee,165.0344827586207,110.51724137931035,54.6551724137931,1999,NA,NA,NA
Texas,164.21428571428572,90.42857142857143,41.892857142857146,1999,NA,NA,NA
Utah,124.33333333333333,68.44444444444444,40.44444444444444,1999,NA,NA,NA
Vermont,138.75,68.5,39,1999,NA,NA,NA
Virgin Islands,80.66666666666667,49.666666666666664,23.333333333333332,1999,NA,NA,NA
Virginia,134.57142857142858,85.28571428571429,39.642857142857146,1999,NA,NA,NA
Washington,113.05,50.95,29.3,1999,NA,NA,NA
West Virginia,140.33333333333334,86.16666666666667,47.05555555555556,1999,NA,NA,NA
Wisconsin,167.59375,88.96875,42.46875,1999,NA,NA,NA
Wyoming,122.35714285714286,51.42857142857143,28.357142857142858,1999,NA,NA,NA
Alabama,151.13636363636363,96.45454545454545,55.86363636363637,2000,NA,NA,NA
Alaska,115.5,60,26,2000,NA,NA,NA
Arizona,105,70,43,2000,NA,NA,NA
Arkansas,107.95238095238095,79.95238095238095,55.76190476190476,2000,NA,NA,NA
California,569.2321428571429,97.39285714285714,48.5,2000,NA,NA,NA
Canada,75,50,32,2000,NA,NA,NA
Colorado,99.66666666666667,56.333333333333336,31.133333333333333,2000,NA,NA,NA
Connecticut,200.125,81.125,42.5,2000,NA,NA,NA
Country Of Mexico,488.6666666666667,140.66666666666666,74.33333333333333,2000,NA,NA,NA
Delaware,202,95.66666666666667,54.333333333333336,2000,NA,NA,NA
District Of Columbia,197,101,63,2000,NA,NA,NA
